Date, Time, Mainnet Transactions, Mainnet TPS, Testnet Transactions, Testnet TPS, Price, Marketcap, Rank
2023-03-11,08:20:10,5057014758,11,71394447,2,0.05858,1644819017,32
2023-03-11,08:25:10,5057017246,12,71395245,3,0.05901,1657005182,32
2023-03-11,08:30:12,5057019752,3,71396001,3,0.05919,1661911630,32
2023-03-11,08:35:10,5057021205,5,71396604,2,0.05919,1661956902,32
2023-03-11,08:40:10,5057022487,4,71396991,2,0.05906,1658306570,32
2023-03-11,08:45:10,5057053223,323,71397428,1,0.0593,1665173838,32
2023-03-11,08:50:10,5057221732,602,71397804,1,0.05932,1665697080,32
2023-03-11,08:55:10,5057445166,903,71398272,1,0.05983,1679848428,32
2023-03-11,09:00:10,5057674254,788,71398666,1,0.05964,1674512483,32
2023-03-11,09:05:10,5057904198,752,71399126,1,0.05975,1677830992,32
2023-03-11,09:10:10,5058124313,737,71399484,1,0.0598,1679219901,32
2023-03-11,09:15:10,5058352573,809,71400454,5,0.0599,1681796913,32
2023-03-11,09:20:10,5058578321,719,71401535,4,0.06032,1693586902,32
2023-03-11,09:25:10,5058806323,0,71402663,4,0.06029,1692920942,32
2023-03-11,09:30:10,5059034343,726,71403717,3,0.06014,1688642386,32
2023-03-11,09:35:10,5059255963,703,71404843,4,0.05999,1684573485,32
2023-03-11,09:40:10,5059482276,773,71405899,4,0.06004,1685785129,32
2023-03-11,09:45:10,5059712252,766,71407020,4,0.05984,1680305847,32
2023-03-11,09:50:11,5059938409,616,71408062,4,0.05971,1676732943,32
2023-03-11,09:55:10,5060161675,806,71409205,4,0.05965,1674930649,32
2023-03-11,10:00:10,5060393771,828,71410299,3,0.05987,1681207586,32
2023-03-11,10:05:10,5060621064,718,71411441,3,0.05995,1683339435,32
2023-03-11,10:10:10,5060846160,763,71412571,6,0.05999,1684567279,32
2023-03-11,10:15:10,5061077046,860,71413968,4,0.05996,1683746024,32
2023-03-11,10:20:09,5061299764,766,71415370,5,0.05987,1681038634,32
2023-03-11,10:25:09,5061526648,757,71416766,5,0.05979,1678889910,32
2023-03-11,10:30:10,5061755370,902,71418145,4,0.05954,1671847871,32
2023-03-11,10:35:11,5061980173,716,71419746,6,0.05954,1671847871,32
2023-03-11,10:40:10,5062203811,760,71421211,5,0.05939,1667581853,32
2023-03-11,10:45:10,5062425764,722,71422666,4,0.0592,1662204485,32
2023-03-11,10:50:10,5062641498,677,71423962,4,0.05915,1660733844,32
2023-03-11,10:55:10,5062869412,639,71425347,4,0.05902,1657125462,32
2023-03-11,11:00:10,5063098341,954,71426673,5,0.05902,1657125462,32
2023-03-11,11:05:10,5063326984,632,71427879,4,0.05922,1662802741,32
2023-03-11,11:10:10,5063548163,757,71428893,3,0.05912,1660030396,32
2023-03-11,11:15:10,5063777479,622,71430001,3,0.05918,1661697674,32
2023-03-11,11:20:10,5064003476,590,71431039,3,0.05933,1666001671,32
2023-03-11,11:25:12,5064227468,609,71432158,3,0.0592,1661295220,32
2023-03-11,11:30:10,5064453487,811,71433187,3,0.0592,1662251188,32
2023-03-11,11:35:10,5064674311,835,71434263,4,0.05917,1661315798,32
2023-03-11,11:40:10,5064901009,777,71435292,3,0.05925,1663810856,32
2023-03-11,11:45:10,5065125122,779,71436401,3,0.05892,1654454791,32
2023-03-11,11:50:10,5065348920,611,71437437,4,0.05903,1657398644,32
2023-03-11,11:55:10,5065566693,755,71438580,4,0.05916,1661123483,32
2023-03-11,12:00:10,5065791216,626,71439645,4,0.05916,1661123483,32
2023-03-11,12:05:10,5066012118,621,71441069,5,0.05883,1651784096,32
2023-03-11,12:10:10,5066238777,602,71442505,5,0.05903,1657585707,32
2023-03-11,12:15:10,5066467404,630,71443967,5,0.05909,1659158517,32
2023-03-11,12:20:10,5066682975,609,71445425,5,0.05922,1662771769,32
2023-03-11,12:25:10,5066907630,652,71446876,6,0.05926,1663947825,32
2023-03-11,12:30:10,5067132769,758,71448337,5,0.05914,1660547562,32
2023-03-11,12:35:15,5067355130,613,71449937,5,0.05895,1655378038,32
2023-03-11,12:40:10,5067570462,598,71451328,5,0.05908,1658786220,32
2023-03-11,12:45:10,5067795898,617,71452849,5,0.05882,1651587971,32
2023-03-11,12:50:10,5068018332,626,71454397,6,0.05876,1650015051,32
2023-03-11,12:55:10,5068239770,846,71455900,6,0.05861,1645685700,32
2023-03-11,13:00:09,5068462692,638,71457447,7,0.05863,1646197483,32
2023-03-11,13:05:09,5068673383,789,71458851,6,0.05847,1641903557,32
2023-03-11,13:10:09,5068891007,583,71460356,5,0.05847,1641903557,32
2023-03-11,13:15:09,5069116011,753,71461790,5,0.05829,1636826117,32
2023-03-11,13:20:15,5069340978,564,71463199,6,0.05836,1638685775,32
2023-03-11,13:25:10,5069552926,714,71464651,6,0.05838,1639135076,32
2023-03-11,13:30:10,5069781322,609,71466202,6,0.05838,1639341461,32
2023-03-11,13:35:09,5069985440,704,71467622,5,0.05844,1640869960,32
2023-03-11,13:40:10,5070205102,909,71468935,6,0.05844,1641026752,32
2023-03-11,13:45:14,5070432125,527,71470532,6,0.05846,1641408836,32
2023-03-11,13:50:09,5070642120,736,71471961,5,0.05848,1641990231,32
2023-03-11,13:55:10,5070856801,886,71473506,6,0.05841,1640039940,32
2023-03-11,14:00:12,5071078644,940,71474940,7,0.05846,1638289412,32
2023-03-11,14:05:10,5071294751,475,71476497,4,0.05833,1637932134,32
2023-03-11,14:10:10,5071513794,773,71477964,5,0.05823,1635100155,32
2023-03-11,14:15:10,5071734561,712,71479497,3,0.058,1628532493,32
2023-03-11,14:20:09,5071946844,841,71480945,5,0.05796,1627447852,32
2023-03-11,14:25:09,5072164421,619,71482474,4,0.058,1628598030,32
2023-03-11,14:30:09,5072382998,756,71483867,4,0.058,1628598030,32
2023-03-11,14:35:10,5072598719,737,71485337,4,0.05798,1628080254,32
2023-03-11,14:40:10,5072813755,916,71486650,3,0.05817,1633366072,32
2023-03-11,14:45:10,5073036437,590,71487735,3,0.05819,1634047987,32
2023-03-11,14:50:11,5073253625,156,71488703,2,0.05813,1632284906,32
2023-03-11,14:55:10,5073474854,699,71489943,5,0.05804,1629638149,32
2023-03-11,15:00:09,5073701174,636,71491043,3,0.05785,1624451958,32
2023-03-11,15:05:09,5073920572,952,71492104,4,0.0577,1620157512,32
2023-03-11,15:10:15,5074150715,628,71493110,3,0.05757,1616396650,32
